Country,COW,COW#,World Bank,Year,Amnesty,State Dept.
Honduras,HON,91,HND,2001,2,3
Honduras,HON,91,HND,2002,3,3
Honduras,HON,91,HND,2003,4,3
Honduras,HON,91,HND,2004,3,3
Honduras,HON,91,HND,2005,3,3
Honduras,HON,91,HND,2006,3,3
Honduras,HON,91,HND,2007,3,3
Honduras,HON,91,HND,2008,2,3
Honduras,HON,91,HND,2009,4,4
Honduras,HON,91,HND,2010,3,3
Honduras,HON,91,HND,2011,2,3
El Salvador,SAL,92,SLV,1976,4,2
El Salvador,SAL,92,SLV,1977,4,3
El Salvador,SAL,92,SLV,1978,5,4
El Salvador,SAL,92,SLV,1979,4,4
El Salvador,SAL,92,SLV,1980,5,4
El Salvador,SAL,92,SLV,1981,5,4
El Salvador,SAL,92,SLV,1982,5,4
El Salvador,SAL,92,SLV,1983,5,4
El Salvador,SAL,92,SLV,1984,5,4
El Salvador,SAL,92,SLV,1985,4,4
El Salvador,SAL,92,SLV,1986,5,4
El Salvador,SAL,92,SLV,1987,5,4
El Salvador,SAL,92,SLV,1988,5,4
El Salvador,SAL,92,SLV,1989,4,4
El Salvador,SAL,92,SLV,1990,4,4
El Salvador,SAL,92,SLV,1991,4,4
El Salvador,SAL,92,SLV,1992,4,4
El Salvador,SAL,92,SLV,1993,4,3
El Salvador,SAL,92,SLV,1994,3,3
El Salvador,SAL,92,SLV,1995,2,3
El Salvador,SAL,92,SLV,1996,3,2
El Salvador,SAL,92,SLV,1997,2,3
El Salvador,SAL,92,SLV,1998,2,2
El Salvador,SAL,92,SLV,1999,3,3
El Salvador,SAL,92,SLV,2000,3,3
El Salvador,SAL,92,SLV,2001,2,2
El Salvador,SAL,92,SLV,2002,1,2
